params:
  capacity 10.000000
nodes:
  node01		9.671		32.717		125.043
  node02		1.038		62.122		289.820
  node03		4.923		63.923		636.711
  node04		8.745		59.428		22.245
  node05		4.464		51.588		852.838
  node06		8.374		32.277		696.420
  node07		6.195		18.349		733.577
  node08		0.203		48.345		512.449
  node09		7.379		40.447		812.517
  node10		3.519		11.761		376.169
  node11		8.166		38.221		658.827
  node12		7.877		56.562		564.783
  node13		8.964		26.624		509.792
  node14		7.762		41.471		141.095
  node15		0.001		21.128		749.409
  node16		5.407		73.208		815.443
  node17		1.615		93.940		909.761
  node18		2.552		69.361		454.047
  node19		0.628		89.786		744.263
  node20		6.237		64.892		972.144
